Support_Year;Cluster;Timestep;HP;EB
0;1;15;0.0;0.0
0;1;16;0.0;0.0
0;1;17;492.376;0.0
0;1;18;52.619;0.0
0;1;19;0.0;0.0
0;1;20;0.0;0.0
0;1;21;0.0;0.0
0;1;22;0.0;0.0
0;1;23;0.0;0.0
0;1;24;0.0;0.0
0;1;25;0.0;0.0
0;1;26;0.0;0.0
0;1;27;0.0;0.0
0;1;28;0.0;0.0
0;1;29;0.0;0.0
0;1;30;0.0;0.0
0;1;31;57.206;0.0
0;1;32;48.043;0.0
0;1;33;58.014;0.0
0;1;34;73.109;0.0
0;1;35;66.764;0.0
0;1;36;67.738;0.0
0;1;37;54.79;0.0
0;1;38;62.417;0.0
0;1;39;130.35;0.0
0;1;40;0.0;0.0
0;1;41;826.549;0.0
0;1;42;0.0;0.0
0;1;43;0.0;0.0
0;1;44;0.0;0.0
0;1;45;0.0;0.0
0;1;46;0.0;0.0
0;1;47;0.0;0.0
0;1;48;0.0;0.0
0;1;49;0.0;0.0
0;1;50;0.0;0.0
0;1;51;0.0;0.0
0;1;52;0.0;0.0
0;1;53;0.0;0.0
0;1;54;0.0;0.0
0;1;55;0.0;0.0
0;1;56;0.0;0.0
0;1;57;0.0;0.0
0;1;58;47.169;0.0
0;1;59;50.65;0.0
0;1;60;49.237;0.0
0;1;61;50.595;0.0
0;1;62;46.084;0.0
0;1;63;862.793;0.0
0;1;64;0.0;0.0
0;1;65;0.0;0.0
0;1;66;0.0;0.0
0;1;67;0.0;0.0
0;1;68;0.0;0.0
0;1;69;0.0;0.0
0;1;70;0.0;0.0
0;1;71;0.0;0.0
0;1;72;0.0;0.0
0;1;73;0.0;0.0
0;1;74;0.0;0.0
0;1;75;0.0;0.0
0;1;76;0.0;0.0
0;1;77;0.0;0.0
0;1;78;0.0;0.0
0;1;79;0.0;0.0
0;1;80;0.0;0.0
0;1;81;49.269;0.0
0;1;82;40.616;0.0
0;1;83;52.988;0.0
0;1;84;51.315;0.0
0;1;85;46.428;0.0
0;1;86;45.557;0.0
0;1;87;841.441;0.0
0;1;88;0.0;0.0
0;1;89;0.0;0.0
0;1;90;0.0;0.0
0;1;91;0.0;0.0
0;1;92;0.0;0.0
0;1;93;0.0;0.0
0;1;94;0.0;0.0
0;1;95;0.0;0.0
0;1;96;0.0;0.0
0;1;97;0.0;0.0
0;1;98;0.0;0.0
0;1;99;0.0;0.0
0;1;100;0.0;0.0
0;1;101;0.0;0.0
0;1;102;0.0;0.0
0;1;103;0.0;0.0
0;1;104;0.0;0.0
0;1;105;58.172;0.0
0;1;106;81.107;0.0
0;1;107;66.714;0.0
0;1;108;69.059;0.0
0;1;109;64.104;0.0
0;1;110;56.289;0.0
0;1;111;67.268;0.0
0;1;112;60.444;0.0
0;1;113;740.239;0.0
0;1;114;0.0;0.0
0;1;115;0.0;0.0
0;1;116;0.0;0.0
